method,seed,success,duration_s,final_goal_distance_m,mean_safe_linear_mps,min_obstacle_m,danger_lt_0p20,caution_lt_0p50,mean_safety_scale,stop_like_samples
e181_gated_dqn_trigger,105,1,183.49,0.217,0.347,0.018,18,101,0.863,69
e181_gated_dqn_trigger,108,0,297.81,1.076,0.011,1.595,0,0,0.03,4149
